waveform	ACC1_X	ACC1_Y	ACC2_X
t0	12/22/2016  16:29:28.870620	12/22/2016  16:29:28.870641	12/22/2016  16:29:28.870662
delta t	0.010000	0.010000	0.010000

time	ACC1_X	ACC1_Y	ACC2_X
12/22/2016  16:29:30.190620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.200620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.210620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.220620	1.640469E+0	1.304330E+0	1.589523E+0
12/22/2016  16:29:30.230620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.240620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.250620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.260620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.270620	1.640469E+0	1.294138E+0	1.579332E+0
12/22/2016  16:29:30.280620	1.640469E+0	1.294138E+0	1.579332E+0
12/22/2016  16:29:30.290620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.300620	1.650661E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.310620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.320620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.330620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.340620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.350620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.360620	1.640469E+0	1.294138E+0	1.579332E+0
12/22/2016  16:29:30.370620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.380620	1.640469E+0	1.294138E+0	1.579332E+0
12/22/2016  16:29:30.390620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.400620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.410620	1.650661E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.420620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.430620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.440620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.450620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.460620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.470620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.480620	1.640469E+0	1.294138E+0	1.579332E+0
12/22/2016  16:29:30.490620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.500620	1.640469E+0	1.294138E+0	1.579332E+0
12/22/2016  16:29:30.510620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.520620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.530620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.540620	1.640469E+0	1.304330E+0	1.579332E+0
